sub_id,user_id,plan_type,amount,start_date,end_date,status
ab504c94-a2d2-4137-bed6-bb8f387af817,2e7cdb3f-4404-47f9-9e60-ba33fcbfa2ca,Pro,29,2025-01-01,2025-03-25,Churned
8cfe021d-2b93-4a75-a066-7c02d32d9358,1c41c9cf-1fce-4d86-bd86-6eaa1b40abe4,Free,0,2025-01-01,,Active
cf6324b4-eca9-4b9d-90d9-3b8b582a00f0,fe33ebd7-e8e9-4639-869a-a02477064602,Free,0,2025-01-01,,Active
05cc1354-e95e-4a2c-ac3b-5e3972bac244,626cd59a-ec3e-43c3-b961-3250d3752185,Pro,29,2025-01-01,,Active
c9e5943b-29c8-46f8-b58d-332b4fea88cf,3cfbc642-8897-4497-8bad-4234395370c0,Free,0,2025-01-01,,Active
ba10eee6-c367-459c-8ab0-b4ba412bbecb,b1c8d50a-1e39-4f21-8775-cabfdcff5f1e,Pro,29,2025-01-01,,Active
57994d77-54c0-44f4-a703-3a33f890be80,a341441c-3c16-4571-957a-66e5a18af1fd,Enterprise,99,2025-01-01,,Active
6919732f-e882-48ee-8a54-9fd05676dc02,1bcb404c-21d8-496a-a2ad-a15760d2759a,Free,0,2025-01-01,,Active
ca2cdf25-b9f8-4116-9a87-92d1856ddbda,4ac1a8f4-a4ba-47d7-b12b-8f43004025e1,Pro,29,2025-01-01,,Active
fb29a19f-3912-4d91-af16-3e67b34aa7a0,a2baec1a-2654-4ba4-93d0-582312798646,Free,0,2025-01-01,,Active
e4728f88-732a-4f49-8bb7-2d0a942f5595,bd44089d-9dd2-49de-bd98-fe336498abe9,Free,0,2025-01-01,,Active
a6348757-7549-49fc-bbaa-14d4ea5e632a,7d8d3ddd-2cf1-49cb-8f1e-1a378ac8ad93,Free,0,2025-01-01,2025-02-20,Churned
1a9face2-1ab0-4c51-8b0d-4cbd09e6c510,d5c0244d-3735-462d-8184-3b0304dd7054,Free,0,2025-01-01,,Active
8ed3afef-f897-47d9-ba07-72326a62bb9c,8ec29e07-ee0c-4303-b9c1-1c4a639817e5,Free,0,2025-01-01,,Active
11b3d913-f44f-463b-9a93-38f68995791d,c516e394-aae6-487e-a744-aa30b1356d67,Free,0,2025-01-01,,Active
6bdc01b5-9572-413e-89e9-39745c1452ca,babfbd99-2d9d-4bd8-aeb2-f98cdb38c2f2,Pro,29,2025-01-01,,Active
4915d17a-dd3d-493c-88ca-a571a33bd683,a4161293-c4c2-42e3-844e-a7c8c0398710,Pro,29,2025-01-01,,Active
75d1f17b-a519-444d-9e93-f2fb6654c3dd,aea4320b-4087-4859-ab39-d0388c325a53,Enterprise,99,2025-01-02,,Active
d76692bd-6416-420b-8713-a3d53b9bd6ef,8fa05149-2bb2-451f-b023-6aca5ee6fdea,Free,0,2025-01-02,,Active
57e085d8-dfae-4ff6-bc8a-e9bdc969cfac,2f7410dd-5779-4735-9094-805e1668e9f8,Free,0,2025-01-02,,Active
4c098021-0299-4b28-9bd5-3714614f2082,55273407-7cd2-492f-94b0-0f62c768b07f,Free,0,2025-01-02,2025-05-23,Churned
83d0703a-474e-4b69-b721-0f63f6c2c7be,c1192634-cad3-4250-aa5f-09cb81a603db,Free,0,2025-01-02,,Active
43b9fcf4-e5d4-4443-ad6c-30e4abd3f914,40c9f77e-a455-42d8-af12-c99ba6a55cfd,Free,0,2025-01-02,2025-02-23,Churned
7fdcadde-6e65-4f53-abcf-1d4ebf023ce0,332cce0a-0e7d-4698-ab95-c72f0d95aaf5,Pro,29,2025-01-02,,Active
2ffa40f7-350c-4740-ba6f-8411bf011eb7,f6054d3e-f4aa-4f32-a5f5-cec4825dd0ea,Free,0,2025-01-02,,Active
d91fc066-9fa4-4a62-ada6-1acfb6305d90,c016c62b-a371-4326-866b-1f526f7f6354,Free,0,2025-01-02,,Active
29bca635-b095-4924-b6ff-ef22120fc4a7,e12def58-4482-4852-889a-4ca481ef8162,Free,0,2025-01-02,2025-03-30,Churned
548e2df4-9a2f-4623-8b5b-600a488e70e0,3e2613ab-a98c-49cf-b25f-3382dbad54e6,Free,0,2025-01-02,,Active
eb035822-771a-4af3-88df-6a455a2d022f,d6442ee9-c448-4bc5-ad64-46d894d3a310,Free,0,2025-01-02,2025-06-08,Churned
02b48c41-076d-47c5-b00d-5278b081391c,5ef75904-b1d9-4480-8caf-014434b51e65,Free,0,2025-01-02,,Active
e4239023-6c59-4f2e-9959-0bbba8c3a7b7,dc5c0eed-8da0-465b-b898-97b9405cacec,Pro,29,2025-01-02,,Active
9d6e06e8-ad69-41c0-bd39-0f792963eb20,807a2c52-990c-4751-83f0-2831b07ecdca,Free,0,2025-01-02,,Active
952ac31c-5012-49fd-b0a4-f07e43036244,7d1b695e-71a0-449d-9703-262fb5cbe3f5,Pro,29,2025-01-02,,Active
